FIPS,State,County_Name,Longitude,Latitude,2016 child poverty,unemployment_13,per_lhs_13,per_black_13,per_hispanic_13,per_ag_13,per_construction_13,per_manufacturing_13,per_retail_13,per_healthss_13,per_singlemom_13,urban,rural,lnchildpov,lnunemployment,lnlesshs,lnblack,lnhispanic,lnag,lnconstruction,lnmanufacturing,lnretail,lnhealthss,lnsinglemom,lnchpov17,lnuninsured,lnincome_ratio,lnsevere_housing,lnteenbirth,lnunmarried
1001,AL,Autauga County,-86.6413,32.53942,16.7,6.2,14.4,18.21625658,2.486021819,1.403684672,5.802732172,12.88382003,13.5271755,17.70898609,11.70393433,1,0,2.815409,1.824549,2.667228,2.902314,0.9106838,0.3391007,1.758329,2.555972,2.604701,2.874072,2.459925,3.000719815,2.552308,1.428276,2.505526,3.597308,3.845883
1003,AL,Baldwin County,-87.7248,30.74312,18.4,6.6,11,9.428476757,4.447556035,1.890958777,8.936305189,8.85090705,14.64334078,19.58423306,8.431111882,1,0,2.912351,1.88707,2.397895,2.243735,1.492355,0.637084,2.190122,2.18052,2.683986,2.974725,2.131929,2.778819272,2.759396,1.485483,2.645529,3.796223,3.594569
1005,AL,Barbour County,-85.39238,31.87734,44.8,10.2,26.3,46.30870027,4.900991911,3.242722603,5.854023973,23.28767123,12.0505137,20.07705479,16.54569449,0,0,3.802208,2.322388,3.269569,3.83533,1.589438,1.176413,1.767129,3.147924,2.489107,2.999578,2.806126,3.804437795,2.863822,1.70001,2.921063,4.288729,3.869116
1007,AL,Bibb County,-87.12752,33.00021,26.2,7.9,22.5,21.66212534,1.946910433,2.206432311,9.598603839,19.93268512,14.19845425,21.2789828,11.03616264,1,0,3.265759,2.066863,3.113515,3.075565,0.6662437,0.7913769,2.261618,2.992361,2.653133,3.05772,2.401177,3.280911216,2.714999,1.507139,2.256562,3.928897,3.427515
1009,AL,Blount County,-86.56705,33.98325,26.5,6.3,23,1.353626156,8.330007115,2.928524875,9.902237671,17.12361503,11.28394525,20.59526396,7.748771303,1,0,3.277145,1.84055,3.135494,0.302787,2.119864,1.074499,2.292761,2.840459,2.423381,3.025061,2.047534,3.234749174,2.906672,1.382236,2.471053,3.855224,3.339322
1011,AL,Bullock County,-85.71598,32.10607,45.1,9.4,32.2,70.85427136,5.68583659,11.13837095,18.00785083,19.3326791,9.715407262,13.4936212,15.32021766,0,0,3.808882,2.24071,3.471967,4.260625,1.737978,2.410396,2.890808,2.961797,2.273713,2.602217,2.729173,3.919991175,2.865162,1.660758,2.597558,4.437899,4.552824
1013,AL,Butler County,-86.68475,31.75805,38.2,10.3,23.7,43.75484872,1.066718386,3.31317381,7.244280831,18.63002892,13.33158033,20.64159874,15.93714927,0,0,3.642836,2.332144,3.165475,3.778602,0.064587,1.197907,1.980212,2.924775,2.590136,3.027308,2.768653,3.549617387,2.809511,1.629339,2.879187,4.14854,3.758872
1015,AL,Calhoun County,-85.82538,33.77637,28.9,8.8,21.4,20.57019556,3.358139219,0.650687933,4.719130663,17.90815879,12.56682149,21.42450267,11.0770359,1,0,3.363842,2.174752,3.063391,3.023843,1.211387,-0.4297251,1.551625,2.885257,2.53106,3.064535,2.404874,3.280911216,2.727382,1.641808,2.675031,3.898501,3.901973
1017,AL,Chambers County,-85.38997,32.92015,32.9,8,24.8,40.22258017,0.509591448,1.187314482,7.358225277,22.47305109,12.43555694,18.8486174,16.36848539,0,0,3.493473,2.079442,3.210844,3.694428,-0.6741459,0.171694,1.995819,3.112317,2.52056,2.93644,2.795358,3.370738174,2.775248,1.663869,2.841765,4.089802,3.941582
1019,AL,Cherokee County,-85.60035,34.17572,22.4,6.6,21.7,4.663132826,1.371283706,2.300088088,9.161201918,20.89654497,12.28344915,21.35656259,9.541984733,0,0,3.109061,1.88707,3.077312,1.539688,0.3157473,0.8329474,2.214977,3.039584,2.508253,3.061359,2.255702,2.995732274,2.812692,1.62826,2.447135,3.942717,2.939162
1021,AL,Chilton County,-86.7185,32.85477,31.4,6.6,24.1,9.768196781,7.67190929,3.141831239,12.94322262,13.82405745,12.22508977,14.51413824,9.786109505,1,0,3.446808,1.88707,3.182212,2.279132,2.037565,1.144806,2.560572,2.62641,2.50349,2.675123,2.280964,3.325036021,2.953487,1.512552,2.827142,4.065854,3.363842
1023,AL,Choctaw County,-88.26266,32.02345,30.2,9.2,24.8,42.82165559,0.284941916,5.728835137,11.58497772,18.73541269,10.84235094,24.61277318,10.7545045,0,1,3.407842,2.219203,3.210844,3.757044,-1.25547,1.745512,2.449709,2.930415,2.38346,3.203266,2.375325,3.490428515,2.780235,1.745855,2.599425,3.744607,3.723281
1025,AL,Clarke County,-87.82743,31.68475,28.7,13.8,21.7,44.32800219,0.461424158,2.092886537,7.019400353,20.87007643,16.16696061,20.31746032,16.93198263,0,0,3.356897,2.624669,3.077312,3.791617,-0.7734376,0.7385442,1.948678,3.038316,2.78297,3.011481,2.829204,3.424262655,2.835188,1.971467,2.720947,3.735069,4.20916
1027,AL,Clay County,-85.86161,33.27486,20.8,8.4,23.5,15.25213457,3.028533898,4.676539361,5.631332814,30.12470772,7.092751364,19.09586906,12.80612245,0,1,3.034953,2.128232,3.157,2.72472,1.108079,1.542558,1.728346,3.405346,1.959073,2.949472,2.549923,3.157000421,2.935175,1.620674,2.684645,3.968055,3.852273
1029,AL,Cleburne County,-85.5195,33.67581,31.2,7.7,23.9,3.546336567,2.141184343,4.569753406,12.41593378,19.22745301,14.14036903,18.24452492,8.151635282,0,1,3.440418,2.04122,3.173878,1.265915,0.7613591,1.519459,2.518981,2.956339,2.649034,2.903865,2.098218,3.433987204,2.770631,1.656417,2.667381,4.04985,2.70805
1031,AL,Coffee County,-85.98815,31.41093,25.9,6.9,17.6,16.77102322,6.374336213,3.505817514,5.358236375,11.91569708,14.78873239,22.08103695,12.30958609,0,0,3.254243,1.931521,2.867899,2.819653,1.85228,1.254424,1.678635,2.477857,2.693866,3.094719,2.510378,3.269568939,2.773551,1.66404,2.491096,3.799724,3.401197
1033,AL,Colbert County,-87.80345,34.7016,24,8.2,16.6,16.20758043,2.205450272,1.900326036,6.842105263,18.88681882,12.68747089,19.55752212,9.667813658,1,0,3.178054,2.104134,2.809403,2.785479,0.7909317,0.6420255,1.923095,2.938464,2.540615,2.97336,2.268802,3.18221184,2.660965,1.561298,2.64072,3.956779,3.363842
1035,AL,Conecuh County,-86.99076,31.43455,48.7,10.7,22.8,44.68864469,1.457570208,5.786428196,7.548658601,20.30510258,10.54708048,21.30457654,13.23443863,0,0,3.885679,2.370244,3.12676,3.799719,0.3767708,1.755515,2.02137,3.010872,2.355849,3.058922,2.582822,3.671224519,2.901954,1.743164,3.025024,4.005114,3.693867
1037,AL,Coosa County,-86.24681,32.94098,21.4,9.2,25,30.57688873,2.045008037,3.445692884,7.565543071,27.36579276,10.08739076,14.68164794,8.889657558,0,1,3.063391,2.219203,3.218876,3.420244,0.7154016,1.237125,2.023604,3.309294,2.311286,2.686598,2.184889,2.884800713,2.815876,1.610378,2.763977,3.896655,3.353407
1039,AL,Covington County,-86.44872,31.25053,29.3,8.1,21.7,12.64565223,1.437366238,6.685423365,7.971596999,15.37379421,12.94882101,19.46677385,12.465993,0,0,3.377588,2.091864,3.077312,2.537313,0.3628124,1.89993,2.075885,2.732664,2.561005,2.968709,2.523004,3.218875825,2.849937,1.516467,2.796305,4.227997,4.082609
1041,AL,Crenshaw County,-86.31468,31.73779,21.5,7.7,23.3,22.73020423,1.655320674,8.506516379,7.291299753,16.69601973,10.72560761,18.61570976,12.64864865,0,1,3.068053,2.04122,3.148453,3.123695,0.5039947,2.140832,1.986682,2.81517,2.372634,2.924006,2.53755,3.113515309,2.799127,1.733265,2.457998,3.981016,3.523415
1043,AL,Cullman County,-86.86536,34.13578,21.2,6.7,20.2,0.971440639,4.287009777,3.056623188,8.416306025,16.28181461,12.38991617,20.56411343,9.166741012,0,0,3.054001,1.902107,3.005683,-0.0289751,1.455589,1.117311,2.130171,2.790049,2.516883,3.023547,2.215582,2.975529566,2.893683,1.575385,2.638807,4.026325,3.380995
1045,AL,Dale County,-85.61334,31.43927,28.8,7.4,15.9,18.95133927,5.678416031,2.715654952,6.394929403,9.517674946,11.68710708,19.60218489,12.39734063,0,0,3.360375,2.00148,2.766319,2.941875,1.736672,0.9990331,1.855505,2.253151,2.458486,2.975641,2.517482,3.303216973,2.687099,1.619804,2.432314,3.880131,3.277145
1047,AL,Dallas County,-87.10431,32.33153,56.4,12.2,22.4,68.65470748,0.789027871,3.696791329,6.101500251,18.79979901,10.92527457,22.22381739,22.26202661,0,0,4.032469,2.501436,3.109061,4.22909,-0.2369536,1.307465,1.808535,2.933846,2.391079,3.101165,3.102882,3.90197267,2.675575,1.877555,3.158251,4.27218,3.983413
1049,AL,DeKalb County,-85.80272,34.46329,28,7.6,29.4,1.648939164,13.77398841,4.220518437,5.428988682,27.87148594,11.7524644,17.77290982,7.299631443,0,0,3.332205,2.028148,3.380995,0.5001321,2.622782,1.439958,1.691753,3.327604,2.464063,2.877675,1.987824,3.433987204,3.077003,1.478212,2.665351,4.079375,3.411148
1051,AL,Elmore County,-86.15033,32.60039,21.9,6.2,13.5,20.33418862,2.693535265,0.619476821,6.846540031,12.55688324,10.71019641,21.00642964,10.17111633,1,0,3.086487,1.824549,2.60269,3.012304,0.9908546,-0.47888,1.923743,2.530269,2.371196,3.044829,2.319552,3.015534901,2.580353,1.397036,2.51697,3.739221,3.165475
1053,AL,Escambia County,-87.16015,31.13244,32.9,8.6,23.8,32.26702298,1.980664938,2.713429451,6.747124575,14.95221124,13.7615422,21.88563097,14.21521296,0,0,3.493473,2.151762,3.169686,3.474046,0.6834326,0.9982133,1.909116,2.704859,2.621878,3.08583,2.654313,3.505557397,2.976412,1.700265,2.659259,4.225805,3.970292
1055,AL,Etowah County,-86.03673,34.0485,28.8,7.6,18.2,15.20046039,3.456742758,0.702486701,6.625264069,18.13230166,10.83254855,24.32232941,11.15098877,1,0,3.360375,2.028148,2.901422,2.721326,1.240327,-0.3531288,1.89089,2.897695,2.382555,3.191395,2.411528,3.356897123,2.816426,1.541202,2.672775,3.984308,3.663562
1057,AL,Fayette County,-87.73774,33.72602,22.8,8.3,25.2,11.36762127,1.338398597,6.43217717,3.598762417,25.35417684,14.16707377,23.30239375,9.451599501,0,0,3.12676,2.116256,3.226844,2.430769,0.2914738,1.861313,1.28059,3.232944,2.650921,3.148556,2.246184,3.218875825,2.736851,1.64812,2.337865,3.948354,3.906005
1059,AL,Franklin County,-87.84262,34.44492,38.1,8.1,27.5,4.200088423,15.05084318,2.118912081,8.697027198,32.27387729,10.6657179,18.84092347,8.252813459,0,0,3.640214,2.091864,3.314186,1.435106,2.711434,0.7509027,2.162981,3.474258,2.367035,2.936031,2.110554,3.737669618,2.998912,1.551279,2.710068,4.134894,2.379546
1061,AL,Geneva County,-85.8341,31.10013,35.7,7,22.8,9.398678661,3.445186816,6.049096804,9.800833719,12.72811487,12.29272811,19.45345067,10.81467985,1,0,3.575151,1.94591,3.12676,2.240569,1.236978,1.799909,2.282467,2.543813,2.509008,2.968024,2.380904,3.62700405,2.946269,1.576439,2.665212,3.985602,3.552487
1063,AL,Greene County,-87.95161,32.85966,61.2,12.8,23.8,80.78128498,0.526080143,2.450980392,8.898944193,18.36349925,13.12217195,21.60633484,19.78905073,0,1,4.114147,2.549445,3.169686,4.391746,-0.6423017,0.8964881,2.185933,2.910365,2.574303,3.072987,2.985129,4.216562195,2.771432,1.545923,2.924714,3.937341,4.317488
1065,AL,Hale County,-87.62711,32.76986,34.6,11.6,22.7,59.02911376,0.333461588,9.538630538,5.785426584,15.90992311,13.6030758,28.01171732,21.69258221,1,0,3.543854,2.451005,3.122365,4.078031,-1.098228,2.25535,1.755342,2.766943,2.610296,3.332623,3.07697,3.629660094,2.777788,1.685676,2.890561,3.774552,2.862201
1067,AL,Henry County,-85.23989,31.53051,19.5,7.7,19.8,27.39195748,2.357291426,3.215291154,8.519780708,15.35042228,8.09008742,25.48525708,10.15511892,1,0,2.970414,2.04122,2.985682,3.31025,0.8575132,1.167918,2.142391,2.731143,2.09064,3.2381,2.317978,2.844909384,2.816294,1.711958,2.551194,3.845923,3.885679
1069,AL,Houston County,-85.29563,31.16395,30,6.9,16.1,25.62398608,3.074487423,1.237724578,6.26555641,9.216183192,13.91591619,23.26333891,13.90843083,1,0,3.401197,1.931521,2.778819,3.243529,1.123138,0.2132746,1.835067,2.220961,2.633033,3.146879,2.632495,3.384390263,2.795676,1.612194,2.555916,4.004343,3.768153
1071,AL,Jackson County,-85.99528,34.78455,28.5,7.9,25.3,3.257414756,2.578473228,3.619504848,8.029746776,23.61385673,10.38783771,20.5262167,8.240519303,0,0,3.349904,2.066863,3.230804,1.180934,0.9471975,1.286337,2.083153,3.161834,2.340636,3.021703,2.109063,3.310543013,2.841841,1.535382,2.474991,3.987406,3.113515
1073,AL,Jefferson County,-86.89671,33.55791,26.7,6.7,12.6,42.14321724,3.803496155,0.679356226,5.906071617,8.511873278,11.12591789,25.54351933,14.81617382,1,0,3.284664,1.902107,2.533697,3.741074,1.335921,-0.3866097,1.775981,2.141462,2.409277,3.240384,2.695719,3.242592351,2.675954,1.677396,2.871212,3.854098,3.848018
1075,AL,Lamar County,-88.09453,33.78306,37.4,7,23.9,11.71853293,1.319811059,3.385276733,5.731685474,24.5029554,10.87229088,20.54451012,11.29650507,0,1,3.621671,1.94591,3.173878,2.461172,0.2774886,1.219436,1.74601,3.198794,2.386217,3.022594,2.424493,3.618993327,2.825744,1.470038,2.454241,4.032828,2.839078
1077,AL,Lauderdale County,-87.64884,34.9067,26.4,7.1,16.2,10.04467658,2.30397341,1.568987035,7.977382135,13.29563689,15.22375895,21.66017167,9.555476388,1,0,3.273364,1.960095,2.785011,2.307043,0.8346352,0.4504302,2.07661,2.587436,2.722857,3.075475,2.257114,3.086486637,2.792747,1.606052,2.704169,3.553359,3.597312
